,Turn,s,R,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,vx_max
772,Right,1.494,17.991,,,,,,,12.937677157607396
773,Right,1.48,19.477,,,,,,,13.4483573379615
774,Right,1.4409999999999998,25.198,,,,,,,15.239829159359813
775,Right,1.411,19.48,,,,,,,13.449366747593128
776,Right,1.374,20.077,,,,,,,13.648599297328309
777,Right,1.307,47.291000000000004,,,,,,,20.586112606999034
778,Right,1.255,135.968,,,,,,,33.11069097722723
779,Right,1.209,126.21700000000001,,,,,,,32.07860398326857
780,Left,1.157,103.45200000000001,,,,,,,29.427316530589962
781,Left,1.102,22.578000000000003,,,,,,,14.450276489759949
782,Left,1.075,13.06,,,,,,,11.0586289975879
783,Left,1.0590000000000002,10.77,,,,,,,10.057529020237448
784,Left,1.043,10.507,,,,,,,9.93568960524482
785,Left,1.013,10.032,,,,,,,9.711544548910437
786,Left,0.985,9.958,,,,,,,9.676132008862679
787,Left,0.965,10.520999999999999,,,,,,,9.942215117473703
788,Left,0.956,9.937999999999999,,,,,,,9.66653759356642
789,Left,0.956,9.135,,,,,,,9.27268872198581
790,Left,0.95,9.269,,,,,,,9.339625353354805
791,Left,0.9390000000000001,9.238,,,,,,,9.324184838011142
792,Left,0.9279999999999999,9.439,,,,,,,9.423827162655488
793,Left,0.925,10.134,,,,,,,9.760134577755599
794,Left,0.937,9.618,,,,,,,9.511640873282628
795,Left,0.955,9.568999999999999,,,,,,,9.487687387849423
796,Left,0.966,9.935,,,,,,,9.665097566147187
797,Left,0.978,9.692,,,,,,,9.547695780451797
798,Left,0.993,9.715,,,,,,,9.558872903515331
799,Left,1.011,9.943,,,,,,,9.668937137369694
800,Left,1.023,10.043,,,,,,,9.716796968680416
801,Left,1.0190000000000001,9.712,,,,,,,9.557415797610807
802,Left,1.021,9.682,,,,,,,9.542831866748951
803,Left,1.0290000000000001,12.328,,,,,,,10.749413469983688
804,Left,1.034,15.084000000000001,,,,,,,11.86893604627016
805,Left,1.033,12.737,,,,,,,10.923337799885024
806,Left,1.031,11.997,,,,,,,10.606430409355474
807,Left,1.035,13.565999999999999,,,,,,,11.267081085741381
808,Left,1.044,14.812999999999999,,,,,,,11.763920915566946
809,Left,1.055,12.655999999999999,,,,,,,10.88912849952978
810,Left,1.079,12.206,,,,,,,10.696949613785351
811,Left,1.083,13.252,,,,,,,11.138217419524276
812,Left,1.092,12.585,,,,,,,10.859047923545152
813,Left,1.121,12.712,,,,,,,10.912791591339273
814,Left,1.148,15.224,,,,,,,11.922796136595199
815,Left,1.165,17.796,,,,,,,12.869008577863452
816,Left,1.172,19.750999999999998,,,,,,,13.540207371706435
817,Left,1.195,24.38,,,,,,,14.998352175789027
818,Left,1.226,26.283,,,,,,,15.55357819730512
819,Left,1.258,24.974,,,,,,,15.174136093888821
820,Left,1.2890000000000001,25.951,,,,,,,15.458343001367103
821,Left,1.314,30.156,,,,,,,16.618708278844913
822,Left,1.3430000000000002,30.799,,,,,,,16.78802147457685
